GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|PFNCT|PFNCT_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|92|Nonminority|02|Male|CS|Financial control with the authority to sign loans, leases, and contracts|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|50016||40.6||9918||59.7||40098||37.7||3||.8||5||1.2||4||.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|92|Nonminority|02|Male|CT|None of the above|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|12752||10.4||1306||7.9||11446||10.8||10||.6||15||.7||10||.7|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|92|Nonminority|02|Male|CU|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|123048||100||16609||100||106439||100||2||0||3||0||2||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|92|Nonminority|02|Male|CV|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2732||0|X|304||0|X|2428||0|X|15||0|X|24||0|X|15||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|26360||0|X|3206||0|X|23154||0|X|7||0|X|7||0|X|8||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|CQ|Providing services and/or producing goods|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|16829||65.3||1717||54.9||15111||66.8||10||2.5||12||2||11||2.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|CR|Managing day-to-day operations|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|14203||55.1||1831||58.5||12371||54.7||8||1.7||10||1.8||10||2.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|CS|Financial control with the authority to sign loans, leases, and contracts|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|10348||40.2||1815||58||8533||37.7||8||1||9||1.9||11||1.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|CT|None of the above|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2793||10.8||345||11||2448||10.8||16||1.1||17||1.4||18||1.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|CU|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|25765||100||3131||100||22634||100||7||0||8||0||8||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|00|All owners of respondent firms|CV|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|595||0|X|75||0|X|519||0|X|39||0|X|79||0|X|42||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|01|Female|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|759||0|X|18||0|X|741||0|X|20||0|X|39||0|X|20||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|V2|Veteran|01|Female|CQ|Providing services and/or producing goods|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|394||56.9||8||43.1||386||57.2||45||12.2||69||11.4||46||12.7|
