GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|HRSWRKD|HRSWRKD_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|01|Female|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|31||3.9||18||19.5||13||1.9||75||2||87||9||67||.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|01|Female|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|807||100||93||100||714||100||19||0||43||0||19||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|01|Female|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|36||0|X|0||0|X|36||0|X|135||0|X|0||0|X|135||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2435||0|X|145||0|X|2290||0|X|17||0|X|23||0|X|18||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|201||8.7||0||0||201||9.3||45||2.9||0||0||45||3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|530||23||3||2.1||527||24.5||31||4||0||0||31||4.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|218||9.5||17||12||201||9.3||40||2.7||57||6.5||43||2.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|CZ|40 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|223||9.7||16||10.7||207||9.6||33||2.8||66||2.9||37||3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|DA|41 to 59 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|477||20.7||42||29.1||435||20.2||36||4.9||47||6.5||37||5.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|651||28.3||67||46.1||584||27.1||27||2.6||45||9.5||29||2.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2300||100||145||100||2155||100||17||0||23||0||17||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|135||0|X|0||0|X|135||0|X|59||0|X|0||0|X|59||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|3109||0|X|131||0|X|2978||0|X|11||0|X|29||0|X|12||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|315||11.2||16||12.3||299||11.2||39||2.9||59||3.9||42||3.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|712||25.4||44||33.3||669||25.1||15||1.9||66||6.3||14||1.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|492||17.6||15||11.5||477||17.9||31||3||80||1.9||33||3.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|CZ|40 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|352||12.6||25||19.2||327||12.2||34||2.3||73||7.7||38||2.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|DA|41 to 59 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|214||7.6||13||10.2||201||7.5||31||2.1||72||5||33||2.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|715||25.6||18||13.6||698||26.1||22||3.9||33||2.9||23||4.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2800||100||131||100||2669||100||10||0||29||0||10||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|00|All owners of respondent firms|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|309||0|X|0||0|X|309||0|X|51||0|X|0||0|X|51||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1056||0|X|69||0|X|987||0|X|26||0|X|59||0|X|25||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|148||15.4||6||8.3||142||15.9||34||4.4||78||5.4||36||5.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|295||30.6||25||36.6||270||30.1||45||5.7||114||7.5||42||5.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|107||11.1||13||19.1||94||10.4||34||4.1||92||2.8||40||4.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|CZ|40 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|157||16.3||17||24.8||140||15.6||67||4.8||74||7.6||77||5.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|DA|41 to 59 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|76||7.9||1||1.5||75||8.4||77||3.7||0||0||78||3.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|181||18.8||7||9.8||175||19.5||57||7.5||67||3.2||59||8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|965||100||69||100||897||100||27||0||59||0||26||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|01|Female|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|90||0|X|0||0|X|90||0|X|50||0|X|0||0|X|50||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2053||0|X|62||0|X|1991||0|X|17||0|X|26||0|X|17||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|166||9.1||10||16.7||156||8.8||49||3.5||86||4.2||54||3.7|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|417||22.7||18||29.6||398||22.5||25||3.5||63||6.7||28||4.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|385||21||2||3.2||383||21.6||36||4.3||0||0||37||4.5|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|CZ|40 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|195||10.6||8||13||186||10.5||31||1.9||70||7.3||32||2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|DA|41 to 59 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|138||7.5||12||19.8||125||7.1||37||1.8||78||5.6||37||1.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|534||29.1||11||17.8||523||29.5||30||5.9||40||3.7||30||6.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1835||100||62||100||1772||100||13||0||26||0||14||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|60|Asian|02|Male|DD|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|218||0|X|0||0|X|218||0|X|62||0|X|0||0|X|62||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|365||0|X|11||0|X|354||0|X|43||0|X|70||0|X|44||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|CW|None|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|31||10.8||1||9.1||30||10.9||87||6.1||0||0||90||6.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|CX|Less than 20 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|87||30.4||2||18.3||85||30.9||46||10.4||0||0||47||10.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|CY|20 to 39 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|28||9.9||2||18.3||26||9.6||95||4.7||0||0||102||5.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|CZ|40 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|89||31.2||6||54.3||83||30.3||115||10||129||16.1||124||10.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|DA|41 to 59 hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|24||8.5||0||0||24||8.8||88||5.7||0||0||88||5.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|DB|60 or more hours|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|26||9.2||0||0||26||9.5||104||6.3||0||0||104||7.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|70|Native Hawaiian and Other Pacific Islander|00|All owners of respondent firms|DC|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|286||100||11||100||275||100||39||0||70||0||40||0|
