GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|PRMINC|PRMINC_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DE|Business was the owner's primary source of personal income|||2007|Reference year 2007|7||53.8||0||0|X|7||53.8||90||11.7||0||0|X|90||11.7|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DF|Business was not the owner's primary source of personal income|||2007|Reference year 2007|6||46.2||0||0|X|6||46.2||105||12.7||0||0|X|105||12.7|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DG|Total reporting|||2007|Reference year 2007|13||100||0||0|X|13||100||65||0||0||0|X|65||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DH|Item not reported|||2007|Reference year 2007|5||0|X|0||0|X|5||0|X|126||0|X|0||0|X|126||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|A2|All owners of respondent firms|||2007|Reference year 2007|108||0|X|22||0|X|86||0|X|37||0|X|76||0|X|44||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DE|Business was the owner's primary source of personal income|||2007|Reference year 2007|69||68.5||18||84.7||50||64||50||15.2||90||21||68||16.9|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DF|Business was not the owner's primary source of personal income|||2007|Reference year 2007|32||31.5||3||15.3||28||36||87||11.1||118||8.5||98||13|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DG|Total reporting|||2007|Reference year 2007|100||100||22||100||79||100||39||0||76||0||48||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DH|Item not reported|||2007|Reference year 2007|7||0|X|0||0|X|7||0|X|131||0|X|0||0|X|131||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|A2|All owners of respondent firms|||2007|Reference year 2007|43||0|X|6||0|X|36||0|X|70||0|X|130||0|X|83||0|X
