GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|PRIORBUS|PRIORBUS_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|11||84.6||0||0|X|11||84.6||77||7.8||0||0|X|77||7.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|2||15.4||0||0|X|2||15.4||0||0||0||0|X|0||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DK|Total reporting|||2007|Reference year 2007|13||100||0||0|X|13||100||65||0||0||0|X|65||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|DL|Item not reported|||2007|Reference year 2007|5||0|X|0||0|X|5||0|X|126||0|X|0||0|X|126||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|A2|All owners of respondent firms|||2007|Reference year 2007|108||0|X|22||0|X|86||0|X|37||0|X|76||0|X|44||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|30||30.4||6||26.5||25||31.5||73||10.2||78||10.9||73||10.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|70||69.6||16||73.5||54||68.5||43||15.1||105||20.1||56||16.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DK|Total reporting|||2007|Reference year 2007|100||100||22||100||79||100||39||0||76||0||48||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|DL|Item not reported|||2007|Reference year 2007|7||0|X|0||0|X|7||0|X|131||0|X|0||0|X|131||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|A2|All owners of respondent firms|||2007|Reference year 2007|43||0|X|6||0|X|36||0|X|70||0|X|130||0|X|83||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|2||5.7||0||0||2||6.7||108||5.4||0||0||108||5.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|40||94.3||6||100||34||93.3||75||23.7||130||29.1||90||25.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|DK|Total reporting|||2007|Reference year 2007|43||100||6||100||36||100||70||0||130||0||83||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|DL|Item not reported|||2007|Reference year 2007|0||0|X|0||0|X|0||0|X|0||0|X|0||0|X|0||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|02|Male|A2|All owners of respondent firms|||2007|Reference year 2007|65||0|X|15||0|X|50||0|X|39||0|X|58||0|X|45||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|02|Male|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|28||48.9||6||37.7||22||52.9||80||13.9||78||11.8||80||14.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|02|Male|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|29||51.1||9||62.3||20||47.1||56||14.6||92||17.2||78||14.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|02|Male|DK|Total reporting|||2007|Reference year 2007|57||100||15||100||42||100||39||0||58||0||48||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|02|Male|DL|Item not reported|||2007|Reference year 2007|7||0|X|0||0|X|7||0|X|131||0|X|0||0|X|131||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|00|All owners of respondent firms|A2|All owners of respondent firms|||2007|Reference year 2007|4375||0|X|848||0|X|3527||0|X|9||0|X|11||0|X|11||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|00|All owners of respondent firms|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|1581||37.3||339||41.3||1242||36.3||16||2.2||22||3.1||16||2.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|00|All owners of respondent firms|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|2656||62.7||481||58.7||2175||63.7||9||2.2||13||3.1||12||2.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|00|All owners of respondent firms|DK|Total reporting|||2007|Reference year 2007|4237||100||820||100||3418||100||9||0||11||0||11||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|00|All owners of respondent firms|DL|Item not reported|||2007|Reference year 2007|138||0|X|28||0|X|109||0|X|73||0|X|76||0|X|90||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|01|Female|A2|All owners of respondent firms|||2007|Reference year 2007|1517||0|X|265||0|X|1251||0|X|13||0|X|20||0|X|14||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|01|Female|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|405||27||59||22.8||345||27.8||22||4.6||51||4.5||22||5.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|01|Female|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|1095||73||201||77.2||894||72.2||18||4.6||20||4.6||20||5.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|01|Female|DK|Total reporting|||2007|Reference year 2007|1500||100||260||100||1239||100||14||0||21||0||14||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|01|Female|DL|Item not reported|||2007|Reference year 2007|17||0|X|5||0|X|12||0|X|43||0|X|97||0|X|55||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|02|Male|A2|All owners of respondent firms|||2007|Reference year 2007|2858||0|X|583||0|X|2276||0|X|11||0|X|12||0|X|14||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|02|Male|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|1177||43||279||50||897||41.2||22||4.5||18||3.5||26||5.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|02|Male|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|1561||57||280||50||1281||58.8||13||4.5||16||3.3||16||5.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|02|Male|DK|Total reporting|||2007|Reference year 2007|2738||100||559||100||2178||100||10||0||11||0||13||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|90|Minority|02|Male|DL|Item not reported|||2007|Reference year 2007|121||0|X|23||0|X|97||0|X|79||0|X|73||0|X|98||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|00|All owners of respondent firms|A2|All owners of respondent firms|||2007|Reference year 2007|120056||0|X|26083||0|X|93973||0|X|3||0|X|4||0|X|4||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|00|All owners of respondent firms|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|51132||43.6||12729||49.9||38402||41.8||6||.9||5||.9||7||1.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|00|All owners of respondent firms|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|66126||56.4||12755||50.1||53371||58.2||3||.9||4||.9||3||1.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|00|All owners of respondent firms|DK|Total reporting|||2007|Reference year 2007|117258||100||25485||100||91773||100||3||0||4||0||4||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|00|All owners of respondent firms|DL|Item not reported|||2007|Reference year 2007|2799||0|X|599||0|X|2200||0|X|12||0|X|20||0|X|15||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|01|Female|A2|All owners of respondent firms|||2007|Reference year 2007|38933||0|X|6779||0|X|32155||0|X|4||0|X|7||0|X|5||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|01|Female|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|10421||27.3||2017||30.6||8404||26.7||8||1.1||8||1.2||10||1.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|01|Female|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|27705||72.7||4579||69.4||23126||73.3||3||1.1||8||1.2||5||1.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|01|Female|DK|Total reporting|||2007|Reference year 2007|38126||100||6596||100||31530||100||4||0||7||0||5||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|01|Female|DL|Item not reported|||2007|Reference year 2007|807||0|X|182||0|X|625||0|X|18||0|X|22||0|X|26||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|02|Male|A2|All owners of respondent firms|||2007|Reference year 2007|81123||0|X|19305||0|X|61818||0|X|3||0|X|4||0|X|4||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|02|Male|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|40710||51.4||10712||56.7||29998||49.8||6||1.1||6||1.1||7||1.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|02|Male|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|38421||48.6||8176||43.3||30245||50.2||2||1.1||4||1.1||3||1.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|02|Male|DK|Total reporting|||2007|Reference year 2007|79131||100||18888||100||60243||100||3||0||4||0||4||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|92|Nonminority|02|Male|DL|Item not reported|||2007|Reference year 2007|1992||0|X|416||0|X|1575||0|X|12||0|X|25||0|X|15||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|V2|Veteran|00|All owners of respondent firms|A2|All owners of respondent firms|||2007|Reference year 2007|21958||0|X|4099||0|X|17859||0|X|5||0|X|7||0|X|6||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|V2|Veteran|00|All owners of respondent firms|DI|Previously owned another business or was self-employed|||2007|Reference year 2007|11598||53.9||2567||64||9032||51.6||8||1.8||8||1.6||10||2.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|V2|Veteran|00|All owners of respondent firms|DJ|Did not previously own another business and was not self-employed|||2007|Reference year 2007|9922||46.1||1445||36||8477||48.4||6||1.8||9||1.5||7||2.2|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|V2|Veteran|00|All owners of respondent firms|DK|Total reporting|||2007|Reference year 2007|21520||100||4011||100||17509||100||5||0||7||0||6||0|
