GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|OWNRAGE|OWNRAGE_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|01|Female|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|94||11.2||6||6.4||88||11.8||60||4.3||81||7.5||66||4.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|01|Female|EF|Total reporting|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|842||100||93||100||749||100||17||0||43||0||17||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|01|Female|EG|Item not reported|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|1||0|X|0||0|X|1||0|X|0||0|X|0||0|X|0||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|A2|All owners of respondent firms|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|2435||0|X|145||0|X|2290||0|X|17||0|X|23||0|X|18||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|DZ|Under 25|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|372||15.8||0||0||372||16.8||33||4.2||0||0||33||4.3|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|EA|25 to 34|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|244||10.3||18||12.4||226||10.2||47||2.6||63||4.5||49||2.8|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|EB|35 to 44|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|367||15.6||33||22.7||334||15.1||27||3||56||8||27||3.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|EC|45 to 54|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|706||30||37||25.7||668||30.2||25||3.6||48||5.5||25||3.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|ED|55 to 64|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|451||19.2||36||24.7||415||18.8||31||4.2||76||7.1||34||4.4|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|11|Forestry, fishing & hunting, and agricultural support services (NAICS 113-115)|11|Agriculture, forestry, fishing and hunting|50|American Indian and Alaska Native|02|Male|EE|65 or over|601|Crop and Animal Production (NAICS 111 and 112) are out of scope of the 2007 Survey of Business Owners.|2007|Reference year 2007|215||9.1||21||14.5||194||8.8||58||3.8||68||6.1||65||4|
