GEOTYPE|GEOTYPE_MEANING|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEOGRAPHY|PROGRAM|PROGRAM_MEANING|SECTOR|SECTOR_MEANING|NAICS2007|NAICS2007_MEANING|CBOGROUP|CBOGROUP_MEANING|CBOSEX|CBOSEX_MEANING|USBORN|USBORN_MEANING|FOOTID|FOOTID_MEANING|YEAR|YEAR_MEANING|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F 
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|EJ|Total reporting|||2007|Reference year 2007|13||100||0||0|X|13||100||65||0||0||0|X|65||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|70|Native Hawaiian and Other Pacific Islander|02|Male|EK|Item not reported|||2007|Reference year 2007|5||0|X|0||0|X|5||0|X|126||0|X|0||0|X|126||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|A2|All owners of respondent firms|||2007|Reference year 2007|108||0|X|22||0|X|86||0|X|37||0|X|76||0|X|44||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|EH|Owner was born in the U.S.|||2007|Reference year 2007|46||46||3||15.3||43||54.4||59||13.3||118||8.5||65||15.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|EI|Owner was not born in the U.S.|||2007|Reference year 2007|54||54||18||84.7||36||45.6||65||14.1||90||21||97||14.7|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|EJ|Total reporting|||2007|Reference year 2007|100||100||22||100||79||100||39||0||76||0||48||0|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|00|All owners of respondent firms|EK|Item not reported|||2007|Reference year 2007|7||0|X|0||0|X|7||0|X|131||0|X|0||0|X|131||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|A2|All owners of respondent firms|||2007|Reference year 2007|43||0|X|6||0|X|36||0|X|70||0|X|130||0|X|83||0|X
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|EH|Owner was born in the U.S.|||2007|Reference year 2007|23||54.8||0||0||23||64.5||117||16.5||0||0||117||18.6|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|EI|Owner was not born in the U.S.|||2007|Reference year 2007|19||45.2||6||100||13||35.5||92||14.5||130||29.1||130||12.1|
01|United States|00|000|00000|000|00000|00000|01000US|United States|SB|Survey of Business Owners|21|Mining|21|Mining, quarrying, and oil and gas extraction|80|Some other race|01|Female|EJ|Total reporting|||2007|Reference year 2007|43||100||6||100||36||100||70||0||130||0||83||0|
