GEOTYPE|ST|COUNTY|PLACE|CSA|MSA|MD|GEO_ID|GEO_TTL|FOOTID_GEO|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|CBOGROUP|CBOGROUP_TTL|CBOSEX|CBOSEX_TTL|PRMINC|PRMINC_TTL|YEAR|OWNALL|OWNALL_F|OWNALL_PCT|OWNALL_PCT_F|OWNPDEMP|OWNPDEMP_F|OWNPDEMP_PCT|OWNPDEMP_PCT_F|OWNNOPD|OWNNOPD_F|OWNNOPD_PCT|OWNNOPD_PCT_F|OWNALL_S|OWNALL_S_F|OWNALL_PCT_S|OWNALL_PCT_S_F|OWNPDEMP_S|OWNPDEMP_S_F|OWNPDEMP_PCT_S|OWNPDEMP_PCT_S_F|OWNNOPD_S|OWNNOPD_S_F|OWNNOPD_PCT_S|OWNNOPD_PCT_S_F
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|00|All owners of respondent firms|DE|Business was the owner's primary source of personal income|2012|10581984||47.5||3756117||68.0||6825867||40.7||.1||.1||.3||.1||.2||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|00|All owners of respondent firms|DF|Business was not the owner's primary source of personal income|2012|11693568||52.5||1765465||32.0||9928104||59.3||.2||.1||.3||.1||.2||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|00|All owners of respondent firms|DG|Total reporting|2012|22275552||100.0||5521582||100.0||16753970||100.0||.1||0||.2||0||.1||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|00|All owners of respondent firms|DH|Item not reported|2012|178884||0|X|9867||0|X|169017||0|X|2.3||0|X|5.6||0|X|2.4||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|01|Female|DE|Business was the owner's primary source of personal income|2012|3748336||43.9||1004878||61.6||2743458||39.7||.2||.1||.5||.1||.3||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|01|Female|DF|Business was not the owner's primary source of personal income|2012|4796661||56.1||626892||38.4||4169769||60.3||.4||.1||.5||.1||.4||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|01|Female|DG|Total reporting|2012|8544997||100.0||1631769||100.0||6913228||100.0||.3||0||.4||0||.3||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|01|Female|DH|Item not reported|2012|101160||0|X|2991||0|X|98169||0|X|2.2||0|X|7.5||0|X|2.3||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|02|Male|DE|Business was the owner's primary source of personal income|2012|6833648||49.8||2751239||70.7||4082409||41.5||.2||.1||.3||.1||.2||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|02|Male|DF|Business was not the owner's primary source of personal income|2012|6896907||50.2||1138573||29.3||5758334||58.5||.3||.1||.4||.1||.3||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|02|Male|DG|Total reporting|2012|13730555||100.0||3889812||100.0||9840743||100.0||.1||0||.2||0||.1||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||00|All owners of respondent firms|02|Male|DH|Item not reported|2012|77724||0|X|6876||0|X|70848||0|X|3.7||0|X|7.5||0|X|3.8||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|00|All owners of respondent firms|DE|Business was the owner's primary source of personal income|2012|916682||58.3||196120||71.3||720562||55.5||.6||.4||1.2||.4||.8||.4|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|00|All owners of respondent firms|DF|Business was not the owner's primary source of personal income|2012|656269||41.7||78785||28.7||577483||44.5||1.2||.4||1.7||.4||1.3||.4|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|00|All owners of respondent firms|DG|Total reporting|2012|1572951||100.0||274905||100.0||1298046||100.0||.6||0||1.0||0||.6||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|00|All owners of respondent firms|DH|Item not reported|2012|27976||0|X|678||0|X|27298||0|X|5.5||0|X|18.5||0|X|5.8||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|01|Female|DE|Business was the owner's primary source of personal income|2012|360474||55.1||59447||66.6||301026||53.3||.9||.4||1.9||.8||1.0||.5|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|01|Female|DF|Business was not the owner's primary source of personal income|2012|293482||44.9||29752||33.4||263731||46.7||1.6||.4||2.4||.8||1.8||.5|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|01|Female|DG|Total reporting|2012|653956||100.0||89199||100.0||564757||100.0||.9||0||1.3||0||1.0||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|01|Female|DH|Item not reported|2012|16025||0|X|246||0|X|15779||0|X|6.4||0|X|28.3||0|X|6.6||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|02|Male|DE|Business was the owner's primary source of personal income|2012|556208||60.5||136672||73.6||419536||57.2||1.0||.5||1.5||.6||1.3||.6|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|02|Male|DF|Business was not the owner's primary source of personal income|2012|362786||39.5||49034||26.4||313753||42.8||1.2||.5||2.5||.6||1.3||.6|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|02|Male|DG|Total reporting|2012|918994||100.0||185706||100.0||733289||100.0||.4||0||1.1||0||.4||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||20|Hispanic|02|Male|DH|Item not reported|2012|11950||0|X|432||0|X|11519||0|X|5.7||0|X|17.3||0|X|5.8||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|00|All owners of respondent firms|DE|Business was the owner's primary source of personal income|2012|9665302||46.7||3559997||67.9||6105304||39.5||.1||.1||.3||.1||.2||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|00|All owners of respondent firms|DF|Business was not the owner's primary source of personal income|2012|11037300||53.3||1686679||32.1||9350620||60.5||.2||.1||.3||.1||.2||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|00|All owners of respondent firms|DG|Total reporting|2012|20702601||100.0||5246677||100.0||15455924||100.0||.1||0||.2||0||.1||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|00|All owners of respondent firms|DH|Item not reported|2012|150908||0|X|9189||0|X|141719||0|X|2.1||0|X|5.9||0|X|2.2||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|01|Female|DE|Business was the owner's primary source of personal income|2012|3387862||42.9||945430||61.3||2442432||38.5||.2||.1||.5||.1||.3||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|01|Female|DF|Business was not the owner's primary source of personal income|2012|4503179||57.1||597140||38.7||3906039||61.5||.3||.1||.5||.1||.4||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|01|Female|DG|Total reporting|2012|7891041||100.0||1542570||100.0||6348471||100.0||.3||0||.4||0||.3||0|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|01|Female|DH|Item not reported|2012|85135||0|X|2744||0|X|82390||0|X|2.6||0|X|8.7||0|X|2.6||0|X
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|02|Male|DE|Business was the owner's primary source of personal income|2012|6277439||49.0||2614567||70.6||3662873||40.2||.2||.1||.3||.1||.3||.1|
01|00|000|00000|000|00000|00000|0100000US|United States||00|Total for all sectors||29|Non-Hispanic|02|Male|DF|Business was not the owner's primary source of personal income|2012|6534121||51.0||1089540||29.4||5444581||59.8||.2||.1||.5||.1||.3||.1|
